doc_id,chatgpt_score,gemini_score,claude_score,qwen_score,deepseek_score
1,0.2,0.2,0.3,0.3,0.3
2,0.2,0.2,0.3,0.3,0.3
3,0.8,0.8,0.7,0.7,0.8
4,0.7,0.7,0.6,0.7,0.7
5,0.8,0.9,0.8,0.7,0.8
6,0.7,0.6,0.6,0.7,0.7
7,0.7,0.8,0.7,0.7,0.8
8,0.1,0.0,0.2,0.2,0.3
9,0.0,0.0,0.0,0.0,0.0
10,0.1,0.1,0.2,0.2,0.2
11,0.1,0.0,0.1,0.2,0.0
12,0.3,0.2,0.3,0.3,0.3
13,0.2,0.0,0.1,0.2,0.0
14,0.1,0.0,0.1,0.2,0.0
15,1.0,1.0,0.9,0.9,1.0
16,0.0,0.0,0.0,0.0,0.0
17,0.3,0.1,0.2,0.3,0.3
18,0.3,0.7,0.4,0.3,0.7
19,0.1,0.0,0.1,0.2,0.2
20,0.1,0.0,0.2,0.2,0.0
21,0.1,0.0,0.2,0.2,0.0
22,0.1,0.0,0.1,0.2,0.2
23,0.85,0.9,0.8,0.7,0.8
24,0.6,0.6,0.4,0.7,0.4
25,0.3,0.2,0.4,0.6,0.3
26,0.0,0.0,0.1,0.1,0.0
27,0.1,0.2,0.3,0.2,0.3
28,0.1,0.0,0.1,0.2,0.2
29,0.0,0.0,0.0,0.1,0.0
30,0.6,0.6,0.6,0.6,0.7
31,0.3,0.3,0.3,0.4,0.3
32,0.7,0.6,0.6,0.7,0.7
33,0.2,0.2,0.2,0.2,0.3
34,0.1,0.0,0.2,0.2,0.3
35,0.7,0.9,0.8,0.7,0.8
36,0.2,0.2,0.2,0.3,0.3
37,0.2,0.1,0.2,0.2,0.2
38,0.0,0.0,0.1,0.0,0.0
39,0.0,0.0,0.1,0.1,0.0
40,0.0,0.0,0.1,0.1,0.0
41,0.0,0.0,0.1,0.1,0.0
42,0.0,0.0,0.1,0.0,0.0
43,0.0,0.0,0.1,0.1,0.0
44,0.0,0.0,0.1,0.1,0.0
45,0.0,0.0,0.1,0.1,0.0
46,0.0,0.0,0.1,0.1,0.0
47,0.0,0.0,0.1,0.1,0.0
48,0.85,0.9,0.8,0.7,0.7
49,0.2,0.2,0.3,0.3,0.3
50,0.2,0.2,0.3,0.3,0.3
51,0.2,0.2,0.3,0.3,0.3
52,0.8,0.9,0.8,0.7,0.7
53,0.7,0.7,0.4,0.7,0.8
54,0.7,0.8,0.6,0.3,0.7
55,0.3,0.2,0.4,0.3,0.7
56,0.1,0.0,0.2,0.2,0.2
57,0.1,0.0,0.2,0.2,0.1
58,0.1,0.0,0.2,0.2,0.2
59,0.1,0.0,0.2,0.2,0.2
60,0.1,0.0,0.2,0.2,0.3
61,0.1,0.0,0.2,0.2,0.2
62,0.1,0.0,0.2,0.2,0.2
63,0.1,0.0,0.2,0.2,0.2
64,0.2,0.2,0.3,0.3,0.4
65,0.0,0.0,0.0,0.2,0.0
66,0.0,0.0,0.0,0.2,0.0
67,0.1,0.0,0.1,0.2,0.0
68,0.3,0.2,0.2,0.3,0.3
69,0.3,0.2,0.2,0.3,0.3
70,0.2,0.2,0.2,0.3,0.3
71,0.1,0.0,0.1,0.2,0.0
72,0.1,0.0,0.1,0.2,0.0
73,0.1,0.0,0.1,0.2,0.1
74,0.1,0.0,0.1,0.2,0.2
75,0.1,0.0,0.1,0.2,0.0
76,0.7,0.8,0.7,0.8,0.7
77,0.1,0.0,0.1,0.2,0.0
78,0.0,0.0,0.1,0.1,0.0
79,0.3,0.6,0.4,0.3,0.7
80,0.3,0.6,0.4,0.3,0.8
81,0.8,1.0,0.8,0.7,0.8
82,0.7,0.8,0.6,0.6,0.7
83,0.7,0.8,0.6,0.7,0.7
84,0.6,0.8,0.6,0.7,0.6
85,0.2,0.0,0.2,0.2,0.2
86,0.1,0.0,0.2,0.2,0.3
87,0.2,0.0,0.2,0.2,0.2
88,0.9,1.0,0.9,0.9,0.9
89,0.9,1.0,0.9,0.9,0.8
90,0.95,1.0,0.9,0.9,0.8
91,0.1,0.0,0.2,0.2,0.2
92,0.7,0.7,0.7,0.7,0.8
93,0.2,0.2,0.3,0.3,0.3
94,0.2,0.2,0.4,0.3,0.3
95,0.3,0.2,0.4,0.3,0.3
96,0.3,0.2,0.4,0.3,0.3
97,0.2,0.2,0.4,0.3,0.4
98,0.3,0.2,0.4,0.3,0.6
99,0.3,0.2,0.4,0.3,0.4
100,0.0,0.0,0.1,0.1,0.0
101,0.0,0.0,0.1,0.1,0.0
102,0.0,0.0,0.1,0.1,0.0
103,0.2,0.0,0.4,0.2,0.2
